                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5381,                 5.6965,                 4.2369,                0.00016,                0.00183,                0.00012,                  2e-05,                    nan,                    nan,                    nan,             0.00012861,             0.00012861,             0.00012861
                      2,                 6.3282,                 5.7321,                 4.0746,                0.00017,                0.00183,                  9e-05,                  1e-05,                    nan,                    nan,                    nan,             0.00027017,             0.00027017,             0.00027017
                      3,                 5.1773,                 4.5971,                 3.4481,                0.00017,                0.00183,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,             0.00041031,             0.00041031,             0.00041031
                      4,                 3.7479,                  3.196,                 2.9625,                0.00041,                0.00183,                0.00024,                  4e-05,                    nan,                    nan,                    nan,             0.00054903,             0.00054903,             0.00054903
                      5,                 3.2681,                 2.4581,                   2.41,                0.00041,                0.00183,                0.00023,                  4e-05,                    nan,                    nan,                    nan,             0.00068635,             0.00068635,             0.00068635
                      6,                  2.865,                  2.288,                   2.01,                0.00048,                0.00183,                0.00028,                  5e-05,                    nan,                    nan,                    nan,             0.00082224,             0.00082224,             0.00082224
                      7,                 2.6327,                 2.0136,                 1.7303,                0.00049,                0.00183,                0.00027,                  4e-05,                    nan,                    nan,                    nan,             0.00095673,             0.00095673,             0.00095673
                      8,                 2.4501,                 1.8774,                 1.5874,                0.00051,                0.00183,                 0.0003,                  5e-05,                    nan,                    nan,                    nan,              0.0010898,              0.0010898,              0.0010898
                      9,                 2.2808,                 1.7702,                 1.4138,                0.00056,                0.00183,                0.00032,                  5e-05,                    nan,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                     10,                  2.079,                 1.6472,                 1.3451,                0.00056,                0.00183,                0.00032,                  5e-05,                    nan,                    nan,                    nan,              0.0013517,              0.0013517,              0.0013517
                     11,                 1.9729,                 1.6047,                 1.2824,                0.00056,                0.00183,                0.00031,                  5e-05,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                     12,                 1.7997,                 1.4633,                 1.2228,                0.01232,                0.05406,                0.02386,                0.00744,                    nan,                    nan,                    nan,              0.0013512,              0.0013512,              0.0013512
                     13,                 1.6621,                 1.3616,                 1.1751,                0.33353,                 0.0553,                0.07694,                0.02896,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
