                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   6.02,                 5.0839,                 4.1989,                0.00039,                0.00359,                0.00024,                  3e-05,                    nan,                    nan,                    nan,             0.00020006,             0.00020006,             0.00020006
                      2,                 4.9927,                 4.1933,                 3.7106,                 0.0004,                0.00359,                0.00021,                  3e-05,                    nan,                    nan,                    nan,             0.00041359,             0.00041359,             0.00041359
                      3,                 3.3504,                 2.7869,                 2.9708,                0.00037,                0.00264,                0.00102,                0.00011,                    nan,                    nan,                    nan,             0.00062627,             0.00062627,             0.00062627
                      4,                 2.7225,                 2.2338,                 2.1923,                0.00056,                0.00264,                 0.0003,                  4e-05,                    nan,                    nan,                    nan,              0.0008381,              0.0008381,              0.0008381
                      5,                 2.4627,                 2.0082,                 1.7797,                0.00086,                0.00264,                0.00048,                  6e-05,                    nan,                    nan,                    nan,              0.0010491,              0.0010491,              0.0010491
                      6,                 2.2016,                 1.8231,                  1.555,                0.00075,                0.00264,                0.00039,                  5e-05,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                      7,                 2.0089,                 1.7167,                 1.4494,                 0.0004,                0.00088,                0.00029,                  3e-05,                    nan,                    nan,                    nan,               0.001412,               0.001412,               0.001412
                      8,                 1.8144,                 1.5579,                 1.3442,                0.00559,                0.01507,                0.00966,                0.00363,                    nan,                    nan,                    nan,              0.0014092,              0.0014092,              0.0014092
                      9,                 1.7272,                 1.4873,                 1.2806,                 0.6913,                0.05094,                 0.0718,                0.03909,                    nan,                    nan,                    nan,              0.0014064,              0.0014064,              0.0014064
                     10,                 1.6613,                 1.3835,                 1.2224,                0.40491,                0.10837,                0.10363,                0.05213,                    nan,                    nan,                    nan,              0.0014035,              0.0014035,              0.0014035
                     11,                 1.5195,                 1.2409,                 1.1812,                0.65007,                0.08952,                0.12255,                0.06298,                    nan,                    nan,                    nan,              0.0014007,              0.0014007,              0.0014007
                     12,                  1.457,                  1.189,                 1.1467,                0.54916,                0.11516,                0.13588,                 0.0739,                    nan,                    nan,                    nan,              0.0013979,              0.0013979,              0.0013979
                     13,                 1.4151,                 1.1005,                 1.1213,                0.46154,                0.11469,                   0.12,                0.06692,                    nan,                    nan,                    nan,               0.001395,               0.001395,               0.001395
                     14,                 1.4593,                 1.1451,                 1.1427,                0.46506,                0.13945,                0.15316,                0.08722,                    nan,                    nan,                    nan,              0.0013922,              0.0013922,              0.0013922
                     15,                 1.3776,                 1.0439,                 1.0991,                0.50128,                0.14521,                0.17147,                0.09507,                    nan,                    nan,                    nan,              0.0013894,              0.0013894,              0.0013894
                     16,                 1.3228,                0.97401,                 1.0878,                0.72823,                0.14839,                0.18351,                0.11192,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                     17,                 1.2884,                0.96589,                 1.0877,                0.53978,                0.15293,                 0.1887,                0.10865,                    nan,                    nan,                    nan,              0.0013837,              0.0013837,              0.0013837
